kind	identity	abi_version	trusted_data	untrusted_data	validation_before_effect	capability	result_or_commit	failure_status	implementation_binding	producer_or_caller	source_site	success_witness	malformed_witness
callback	expr-splice	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-splice	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-splice	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-if	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-if	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-if	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-list-length	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-list-length	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-list-length	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-binding-clause-list-length	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-binding-clause-list-length	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-binding-clause-list-length	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	syntax-name-fresh	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-identity	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-syntax-name-fresh	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-syntax-name-fresh	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-begin-unit	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-begin-unit	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-begin-unit	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-list-nth	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-list-nth	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-list-nth	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-list-type-nth	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-list-type-nth	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-list-type-nth	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-binding-clause-list-nth	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-binding-clause-list-nth	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-binding-clause-list-nth	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-binding-clause-name	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	adapter:session-cookie+first-failure-latch	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-binding-clause-name	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-binding-clause-name	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-binding-clause-has-type?	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+typed-arena-handle	syntax-build	direct-i64-predicate;no-result-commit	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-binding-clause-has-type?	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-binding-clause-has-type?	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-binding-clause-type	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	adapter:session-cookie+first-failure-latch	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-binding-clause-type	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-binding-clause-type	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-binding-clause-init	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	adapter:session-cookie+first-failure-latch	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-binding-clause-init	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-binding-clause-init	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-begin	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-begin	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-begin	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-binary-op	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+argument-range+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-binary-op	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-binary-op	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-unary-op	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+argument-range+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-unary-op	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-unary-op	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-char-literal	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-char-literal	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-char-literal	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-unit-literal	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-unit-literal	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-unit-literal	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	local-set	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+argument-range	session-value-stack	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-local-set	generic-loader-import-admission	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-local-set	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	local-get	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range	session-value-stack	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-local-get	native-producer-direct-count=3	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-local-get	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-var-from-value	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-var-from-value	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-var-from-value	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-bracket-clause	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-bracket-clause	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-bracket-clause	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-borrow	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+argument-range+pointer-length+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-borrow	native-producer-direct-count=4	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-borrow	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	type-key	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-type-key	native-producer-direct-count=3	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-type-key	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	struct-field-name	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-struct-field-name	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-struct-field-name	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	enum-variant-name	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-enum-variant-name	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-enum-variant-name	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	struct-field-count	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-struct-field-count	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-struct-field-count	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	enum-variant-count	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-enum-variant-count	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-enum-variant-count	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	enum-variant-payload-count	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-enum-variant-payload-count	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-enum-variant-payload-count	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	tuple-element-count	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-tuple-element-count	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-tuple-element-count	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	struct-field-type	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-struct-field-type	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-struct-field-type	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	enum-variant-payload-type	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-enum-variant-payload-type	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-enum-variant-payload-type	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	tuple-element-type	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-tuple-element-type	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-tuple-element-type	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	string-append	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	string-transform	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-string-append	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-string-append	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	pattern-wildcard	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-pattern-wildcard	native-producer-direct-count=3	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-pattern-wildcard	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	pattern-binding	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+argument-range+pointer-length+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-pattern-binding	native-producer-direct-count=3	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-pattern-binding	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	pattern-binding-typed	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-pattern-binding-typed	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-pattern-binding-typed	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	pattern-variant	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+argument-range+pointer-length+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-pattern-variant	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-pattern-variant	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	pattern-list-empty	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-pattern-list-empty	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-pattern-list-empty	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	pattern-list-cons	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-pattern-list-cons	generic-loader-import-admission	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-pattern-list-cons	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	pattern-list-cons-from-values	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-pattern-list-cons-from-values	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-pattern-list-cons-from-values	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	pattern-list-bindings	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+argument-range+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-pattern-list-bindings	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-pattern-list-bindings	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	pattern-variant-from-value	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-pattern-variant-from-value	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-pattern-variant-from-value	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	match-arm-list-cons-from-values	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-match-arm-list-cons-from-values	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-match-arm-list-cons-from-values	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	match-arm	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-match-arm	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-match-arm	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	match-arm-list-empty	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-match-arm-list-empty	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-match-arm-list-empty	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	match-arm-list-cons	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-match-arm-list-cons	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-match-arm-list-cons	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-match	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-match	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-match	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	string-value	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+pointer-length+typed-arena-handle	string-transform	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-string-value	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-string-value	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	diagnostic-from-value	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	diagnostics	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-diagnostic-from-value	generic-loader-import-admission	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-diagnostic-from-value	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
